papa'a la,sunburned
slippahs,flip flops 
aka'a ka,to laugh
shoots den,later then 
lilikoi,passionfruit
inu,drink
he'e nalu,surfing
kai,ocean 
ohana,family
wai,water
pupu,appetizers
aloha,goodbye
kahuna,wise man
mahina,moon
mauna,mountain
koa,warrior
wai,water
howzit,how are you
puka 'ana,sunset
lolo,crazy
manini,little bit
mano,shark
ono,delicious
wela,warm
niu,coconut
nai'a,dolphin
hoa,friend
mahalo,thank you
kane,man
hipahipa,cheers
nalu,wave
kolohe,rascal
lilo,lost
olu'olu,cool
mauka,mountain side
ipo,lover
wailele,waterfall
brah,dude
makai,sea side 
aurite,alright
k den,okay
laule'a?,friendship
hau'oli,happy
ku'u aku,to relax
kope,coffee
nalu,wave
a'a,rough lava 
pele,fire goddess
pahoehoe,smooth lava
talk story,to chat
wikiwiki,quick
hoe,paddle
laule'a,Friendship
stink eye,dirty look
kiha,burp